"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7292","LoginTest()","","Mon Dec 09 20:23:17 GMT 2024","passed","Mon Dec 09 20:23:24 GMT 2024","","com.lenta.LoginTests","com.lenta.LoginTests","LoginTest"
"","8735","Товар найден через строку поиска и тег существует Товар молоко найден через строку поиска и тег Молоко и сливки существует","","Mon Dec 09 20:23:24 GMT 2024","passed","Mon Dec 09 20:23:33 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExistDelimeter"
"","202","deleteUserTest()","","Mon Dec 09 20:22:22 GMT 2024","passed","Mon Dec 09 20:22:23 GMT 2024","","api.reqres.ReqresApiTest","api.reqres.ReqresApiTest","deleteUserTest"
"","2858","Скачивание и проверка файла при наличии в кнопке href","","Mon Dec 09 20:26:08 GMT 2024","passed","Mon Dec 09 20:26:11 GMT 2024","","files.DownloadUploadFilesTests","files.DownloadUploadFilesTests","downloadAndCompareFileWithHref"
"","1","Создание ISSUE для авторизованного пользователя","","Mon Dec 09 20:21:53 GMT 2024","passed","Mon Dec 09 20:21:53 GMT 2024","","allure.AllureLabelsTest","allure.AllureLabelsTest","staticLabelsTest"
"","0","NegativeTest1()","","Mon Dec 09 20:28:06 GMT 2024","passed","Mon Dec 09 20:28:06 GMT 2024","","simple.PositiveTests","simple.PositiveTests","NegativeTest1"
"","304","dragDropWithActionsTest()","","Mon Dec 09 20:28:01 GMT 2024","passed","Mon Dec 09 20:28:01 GMT 2024","","herokuapp.DragAndDropTests","herokuapp.DragAndDropTests","dragDropWithActionsTest"
"","5552","Чтение из PDF","","Mon Dec 09 20:27:42 GMT 2024","passed","Mon Dec 09 20:27:47 GMT 2024","","files.WorkWithPdfTests","files.WorkWithPdfTests","readPdf"
"","1","Создание ISSUE для авторизованного пользователя","","Mon Dec 09 20:21:53 GMT 2024","passed","Mon Dec 09 20:21:53 GMT 2024","","allure.AllureLabelsTest","allure.AllureLabelsTest","dynamicLabelsTest"
"","2383","submitStudentRegistrationFormFillRequiredFieldsNegativeTest()","","Mon Dec 09 20:22:43 GMT 2024","passed","Mon Dec 09 20:22:46 GMT 2024","","com.demoqa.SubmitPracticeFormPageTest","com.demoqa.SubmitPracticeFormPageTest","submitStudentRegistrationFormFillRequiredFieldsNegativeTest"
"","151","Проверка JSON из класса","","Mon Dec 09 20:27:41 GMT 2024","passed","Mon Dec 09 20:27:42 GMT 2024","","files.WorkJacksonTests","files.WorkJacksonTests","createJacksonFromModel"
"","1","EmptySystemPropertyTest()","","Mon Dec 09 20:28:06 GMT 2024","passed","Mon Dec 09 20:28:06 GMT 2024","","jenkins.SytestemPropertyTests","jenkins.SytestemPropertyTests","EmptySystemPropertyTest"
"","0","NegativeTest3()","","Mon Dec 09 20:28:06 GMT 2024","passed","Mon Dec 09 20:28:06 GMT 2024","","simple.PositiveTests","simple.PositiveTests","NegativeTest3"
"","13297","Товар для взрослых найден через строку поиска и тег существует Товар для взрослых WHISKY найден через строку поиска и теги [Виски, Напитки, Посуда для сервировки, Конфеты, Конфеты и подарочные наборы, Для тела, до -40% на посуду Platinum Choice, Товары для отдыха и дома] существует","","Mon Dec 09 20:24:39 GMT 2024","failed","Mon Dec 09 20:24:52 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","adultSearchResultShouldNotBeEmptyTagsExist"
"","7898","Товар найден через строку поиска и тег существует Товар сметана найден через строку поиска и тег Сметана существует","","Mon Dec 09 20:26:00 GMT 2024","passed","Mon Dec 09 20:26:08 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExistCSVFile"
"","606","selenoidApiTest()","","Mon Dec 09 20:22:23 GMT 2024","passed","Mon Dec 09 20:22:23 GMT 2024","","api.selenide.ApiSelenideTest","api.selenide.ApiSelenideTest","selenoidApiTest"
"","90023","Загрузка файла в input","","Mon Dec 09 20:26:11 GMT 2024","broken","Mon Dec 09 20:27:41 GMT 2024","","files.DownloadUploadFilesTests","files.DownloadUploadFilesTests","uploadFileToInput"
"","12889","Товар для взрослых найден через строку поиска и тег существует Товар для взрослых VODKA найден через строку поиска и теги [Конфеты, Конфеты и подарочные наборы, Водка, настойки, Водка] существует","","Mon Dec 09 20:25:05 GMT 2024","failed","Mon Dec 09 20:25:18 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","adultSearchResultShouldNotBeEmptyTagsExist"
"","2611","findSelenidTest()","","Mon Dec 09 20:27:51 GMT 2024","passed","Mon Dec 09 20:27:54 GMT 2024","","github.FindSelenide","github.FindSelenide","findSelenidTest"
"","9150","Товар найден через строку поиска и тег существует Товар молоко найден через строку поиска и тег Молоко и сливки существует","","Mon Dec 09 20:25:18 GMT 2024","passed","Mon Dec 09 20:25:27 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExist"
"","4874","submitStudentRegistrationFormTest()","","Mon Dec 09 20:28:01 GMT 2024","passed","Mon Dec 09 20:28:06 GMT 2024","","jenkins.SubmitPracticeFormRemoteTest","jenkins.SubmitPracticeFormRemoteTest","submitStudentRegistrationFormTest"
"","1621","getMapElementTest()","","Mon Dec 09 20:22:19 GMT 2024","passed","Mon Dec 09 20:22:21 GMT 2024","","api.reqres.ReqresApiTest","api.reqres.ReqresApiTest","getMapElementTest"
"","269","postCreateUserTest()","","Mon Dec 09 20:22:17 GMT 2024","passed","Mon Dec 09 20:22:18 GMT 2024","","api.reqres.ReqresApiTest","api.reqres.ReqresApiTest","postCreateUserTest"
"","8106","Товар для взрослых найден через строку поиска Товар для взрослых BEER найден через строку поиска","","Mon Dec 09 20:24:31 GMT 2024","passed","Mon Dec 09 20:24:39 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","adultSearchResultShouldNotBeEmpty"
"","21","Создание из класса JSON строки","","Mon Dec 09 20:27:42 GMT 2024","passed","Mon Dec 09 20:27:42 GMT 2024","","files.WorkJacksonTests","files.WorkJacksonTests","createJasonAsString"
"","8","Чтение из JSON","","Mon Dec 09 20:27:42 GMT 2024","passed","Mon Dec 09 20:27:42 GMT 2024","","files.WorkWithJsonTests","files.WorkWithJsonTests","improveReadJSON"
"","9","NegativeTest1()","","Mon Dec 09 20:28:06 GMT 2024","failed","Mon Dec 09 20:28:06 GMT 2024","","simple.NegativeTests","simple.NegativeTests","NegativeTest1"
"","7194","hoverSolutionTest()","","Mon Dec 09 20:27:54 GMT 2024","passed","Mon Dec 09 20:28:01 GMT 2024","","github.FindSolutionsTests","github.FindSolutionsTests","hoverSolutionTest"
"","1","NegativeTest3()","","Mon Dec 09 20:28:06 GMT 2024","failed","Mon Dec 09 20:28:06 GMT 2024","","simple.NegativeTests","simple.NegativeTests","NegativeTest3"
"","0","NegativeTest1()","","Mon Dec 09 20:28:06 GMT 2024","skipped","Mon Dec 09 20:28:06 GMT 2024","","simple.SkippedTests","simple.SkippedTests","NegativeTest1"
"","675","schemaValidateTest()","","Mon Dec 09 20:22:22 GMT 2024","passed","Mon Dec 09 20:22:22 GMT 2024","","api.reqres.ReqresApiTest","api.reqres.ReqresApiTest","schemaValidateTest"
"","3","DefSystemPropertyTest()","","Mon Dec 09 20:28:06 GMT 2024","passed","Mon Dec 09 20:28:06 GMT 2024","","jenkins.SytestemPropertyTests","jenkins.SytestemPropertyTests","DefSystemPropertyTest"
"","12608","Товар для взрослых найден через строку поиска и тег существует Товар для взрослых BEER найден через строку поиска и теги [Пиво, сидр, медовуха, Импортное пиво, Лицензионное пиво] существует","","Mon Dec 09 20:24:52 GMT 2024","failed","Mon Dec 09 20:25:05 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","adultSearchResultShouldNotBeEmptyTagsExist"
"","6","В архиве есть pdf, xlsx, json","","Mon Dec 09 20:27:51 GMT 2024","passed","Mon Dec 09 20:27:51 GMT 2024","","files.WorkWithZipTests","files.WorkWithZipTests","readZipAndAssert1"
